,ID,KIDSDRIV,AGE,HOMEKIDS,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,TRAVTIME,CAR_USE,BLUE_BOOK,RED_CAR,OLD_CLAIM,CLM_FREQ,REVOKED,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBAN_CITY,EDUCATION_<High School,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,EDUCATION_z_High School,CAR_TYPE_Minivan,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,OCCUPATION_Clerical,OCCUPATION_Doctor,OCCUPATION_Home Maker,OCCUPATION_Lawyer,OCCUPATION_Manager,OCCUPATION_Professional,OCCUPATION_Student,OCCUPATION_z_Blue Collar,binned_AGE,binned_INCOME,binned_HOME_VAL,binned_OLD_CLAIM,binned_CLM_FREQ,binned_CLM_AMT,binned_CAR_AGE
6813,654396688,0,43,2,19916,0,129144,1,1,43,1,8340,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,2
2490,237008961,0,21,1,360,1,0,0,1,65,0,5250,1,36775,2,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,3
8410,807225543,0,51,0,62349,0,202627,1,1,38,0,12830,1,6127,2,0,0,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,5,2,1,0,2
5163,498628502,0,35,0,7350,0,67463,1,0,14,1,2230,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0
7302,700321561,0,41,0,103461,0,305052,1,1,35,1,15950,1,3443,2,0,0,20,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,7,0,1,0,8
7441,713564750,0,41,2,35636,0,150462,1,0,42,1,15120,0,5358,1,0,2219,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,3,1,0,0,0
2849,275508191,0,48,0,25094,0,0,0,0,18,0,8810,0,4852,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,2,0,1,0,0,0
419,40475918,0,34,2,0,0,0,1,0,26,1,4900,0,0,0,0,1443,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9389,905237668,1,38,2,10678,0,143199,1,1,32,1,6370,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,2
4034,387113644,0,46,0,28996,0,137891,0,0,60,1,9200,0,0,0,0,6639,9,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,3,0,0,2,4
8776,845706926,0,41,0,39066,0,157656,1,0,25,1,7920,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0
499,48660867,0,56,0,188809,0,484306,0,1,25,1,35810,1,0,0,0,0,21,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,9,8,0,0,0,8
1,246910,0,33,1,53598,1,34969,0,0,5,1,11410,0,9867,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,3,3,0,0
10161,983844230,0,50,0,41988,0,161160,1,0,30,0,10700,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,3,4,0,0,0,6
5317,512239483,0,43,3,72637,1,0,0,0,46,0,24050,0,0,0,0,0,16,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,7
7389,708767803,0,53,0,0,0,0,0,1,47,0,30050,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0
7063,678910448,0,34,1,62044,0,201347,1,0,37,1,11100,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,0,0,0,2
2233,212478670,0,50,0,55230,0,0,0,0,36,0,24950,0,4997,3,0,6535,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,5,0,1,2,2,2
7528,721161903,0,43,0,109308,0,0,0,0,42,1,13520,0,22305,3,0,0,15,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,0,3,2,0,7
8546,822927578,0,35,0,51996,0,0,0,1,35,1,10200,1,41621,2,1,0,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,0,3,1,0,3
8004,765313451,0,41,0,4130,0,102229,1,0,51,1,1500,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,5
4912,476379522,1,55,1,17820,0,115540,1,0,32,1,13340,0,6913,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1,2,2,0,0,3
261,25561360,0,40,0,57474,0,186418,1,1,5,0,29270,1,0,0,0,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,5,4,0,0,0,1
5242,505836127,0,23,2,0,0,0,1,0,29,1,3800,1,7705,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1
1639,156913960,0,53,1,37172,1,195043,0,0,5,0,20960,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,5,0,0,0,0
1069,103763168,1,37,3,27431,1,153652,0,0,58,1,15400,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,3,0,0,0,2
9443,910285542,0,42,0,23892,0,171676,1,1,48,1,12600,0,0,0,0,50033,6,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,4,0,0,2,2
2162,204838758,0,35,3,10994,0,103798,1,1,38,1,6100,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1
1420,135363189,0,34,1,83792,0,261803,1,0,21,1,13280,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,7,0,0,0,6
10216,990812546,0,38,0,51176,0,0,0,0,10,1,15330,0,0,0,1,0,11,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,5
8111,777877285,0,41,1,38430,1,0,0,0,22,1,9440,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,6
4914,476896351,0,28,1,4843,1,0,0,1,21,1,1980,1,3018,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
1131,109954375,0,58,0,77297,0,280067,0,1,5,0,7300,0,3075,4,0,4373,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,6,7,0,3,1,0
3412,326900696,0,45,0,63117,0,0,0,0,41,1,22040,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,5,0,0,0,0,4
827,80119422,2,44,3,47543,0,187957,1,1,19,0,20380,0,7039,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,4,2,0,0,0
8612,829880450,0,52,0,74203,0,0,0,0,31,1,20580,0,0,0,0,0,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,5
5121,494605564,0,40,2,19984,0,129313,1,1,41,1,5500,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,0
8662,834666908,0,56,0,95259,0,320094,1,0,25,0,11030,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,0,0,0,0
5696,547910569,0,60,4,28634,0,151602,1,1,17,1,5730,0,30480,2,1,471,5,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,3,3,1,0,1
3756,360133721,0,33,3,9157,0,0,1,0,35,1,17970,0,5548,2,0,0,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,3
9397,906046400,0,41,0,48835,0,249596,0,1,35,0,10480,1,2702,1,0,0,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,6,0,0,0,4
345,33544630,0,56,0,111702,0,181954,0,0,18,1,18270,0,0,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,8,4,0,0,0,8
925,89945962,0,43,0,90213,0,293850,1,1,21,1,16210,1,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,7,7,0,0,0,6
178,19168448,0,52,0,74422,0,247486,1,0,5,0,22490,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,6,6,0,0,0,2
6058,586065625,0,53,0,51435,0,0,0,1,33,0,29260,1,4099,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,1,0,0,0
8357,800579103,2,41,3,63610,1,0,0,1,10,1,11960,0,45931,1,1,3335,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,3,0,1,0
2458,234742148,0,36,2,33294,1,0,0,0,26,1,10070,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0
6619,634828055,0,46,0,14704,0,80659,1,0,57,1,10620,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,2,0,0,0,1
5161,498457014,0,40,0,72242,0,212157,1,0,14,1,17580,0,0,0,1,0,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,6,5,0,0,0,4
6634,636288690,0,45,0,53896,0,221275,0,0,41,1,11570,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,6,0,0,0,1
10176,986627860,1,40,3,80052,1,0,0,0,22,0,13510,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,4
8686,836506488,0,42,0,69780,0,223784,1,0,32,1,22350,0,5346,2,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,6,6,1,1,0,8
2899,280912778,0,52,0,95892,0,274044,1,0,21,1,11090,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,8,7,0,0,0,4
7223,694490618,0,53,0,74334,0,254789,1,0,24,1,6800,0,5854,1,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,6,6,1,0,0,7
3200,307275145,0,31,3,17839,0,96399,1,0,64,0,18780,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2
7522,720785244,0,32,3,52121,1,0,0,0,42,1,1500,0,27582,4,0,0,16,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,7
7884,752768207,0,37,0,21484,0,0,0,1,35,1,9780,0,40648,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,0,0
9581,923385909,1,39,2,0,1,81473,0,0,20,1,6670,0,10102,1,1,0,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,3,0,0,4
2853,276502461,0,40,0,84506,0,251400,1,0,32,1,19100,0,0,0,1,0,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,6,0,0,0,7
1691,161018821,0,39,0,63190,0,212219,1,0,31,1,13810,0,19618,4,1,5383,16,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,5,3,3,2,7
4333,418359835,0,26,1,31270,0,137930,1,0,26,1,7230,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,6
1857,177212541,2,44,3,69264,0,242234,1,1,35,0,16510,1,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,0,0,0,4
209,21872625,0,73,3,116520,0,362060,1,1,5,1,19540,0,0,0,0,0,21,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,8,8,0,0,0,8
5299,510903092,0,51,0,102244,0,307424,1,1,39,0,24180,1,0,0,0,0,15,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,8,7,0,0,0,7
9227,888150310,0,57,0,50443,0,206150,1,0,24,1,17960,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,4,5,0,0,0,8
1550,147750981,0,34,2,51497,0,219049,1,0,51,1,15230,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,5,0,0,0,6
4454,430670098,0,30,2,132463,1,362176,0,1,38,1,14820,1,5007,3,0,0,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,1,2,0,5
2965,285354802,2,38,2,102020,1,0,0,0,28,1,15500,0,5306,2,0,3726,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,8,0,1,1,1,0
9022,867935167,0,28,3,43910,0,179794,1,1,35,0,27240,0,3460,2,0,3979,7,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,1,1,2
3196,306976325,0,48,0,38939,0,155006,0,1,28,0,31970,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,3,3,0,0,0,5
2779,267898653,0,48,0,64798,0,231016,1,0,37,0,12780,0,5244,1,0,1870,10,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,5,6,1,0,0,4
3984,382198324,0,52,0,43393,0,202835,1,0,23,1,21250,0,30910,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,5,3,1,0,0
7820,747557690,0,50,0,67488,0,206632,1,1,52,1,17000,0,0,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,5,0,0,0,2
8469,813759954,0,66,1,96830,0,325826,1,1,23,1,11180,0,0,0,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,8,8,0,0,0,7
5936,574513469,0,55,0,97890,0,325876,1,1,10,0,24930,1,569,1,0,0,18,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8
6915,665635577,1,47,1,65324,0,191554,1,0,36,1,14250,0,8880,2,0,0,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,5,2,1,0,5
4310,414929424,1,40,2,50272,0,180265,1,1,32,0,10530,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,0,0,0
9182,883074798,2,43,2,62638,1,0,0,0,36,0,23140,0,7148,2,0,4665,11,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,5,0,2,1,1,5
4823,467453467,0,44,0,100046,0,238931,1,0,38,1,14810,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,8,6,0,0,0,2
8670,835290346,0,47,0,40460,0,0,0,0,54,0,5550,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,7
4575,443463574,0,42,0,149897,0,0,0,0,34,1,13910,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,9,0,0,0,0,4
3334,319718069,0,54,0,80297,0,0,0,1,29,0,24160,1,0,0,0,0,13,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,6
8520,819630864,0,46,0,29968,0,180980,1,1,43,0,26310,0,0,0,0,0,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,0,0,0,3
2177,206064949,0,35,2,8746,0,127941,1,0,50,0,5370,0,0,0,0,962,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0
9906,955376851,0,41,0,23327,0,147099,0,0,25,1,13460,0,27632,2,0,0,11,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,3,3,1,0,5
2941,283536065,0,43,0,69301,0,0,0,1,25,1,20670,0,3502,3,0,0,7,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,6,0,1,2,0,2
2250,213733981,1,41,3,79190,0,235543,1,0,30,1,13520,0,3469,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,7,6,1,1,0,0
6196,598752269,0,38,0,58530,0,238054,1,0,21,0,16480,0,2775,3,0,6393,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,6,0,2,2,0
602,59213729,0,52,0,35259,0,0,0,1,8,1,12850,0,1304,1,0,0,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,7
4388,423063015,0,55,0,34745,0,180963,1,1,15,1,10470,1,2752,1,0,0,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,3,4,0,0,0,1
204,21582374,0,43,0,75544,0,0,0,0,59,1,15550,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,0,0,0,0,4
7037,676912383,0,30,3,26315,1,0,0,1,56,0,7130,1,0,0,0,3246,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
8230,789938578,0,52,0,78348,0,0,0,0,5,0,14530,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,7,0,0,0,0,4
1178,113730746,2,46,0,19139,0,123576,1,1,27,1,17200,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,1
2682,256969488,0,35,0,19681,0,0,0,1,58,0,21120,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
5132,495572630,0,50,0,16917,0,92745,1,0,23,1,14990,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,2,0,0,0,0
3676,351440529,0,45,0,72702,0,221350,0,1,43,0,13270,1,4740,2,0,1680,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,1,1,0,2
9153,879542807,1,63,2,42928,0,203946,1,1,31,1,22480,0,32671,2,0,0,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3,5,3,1,0,7
6992,672745912,0,56,0,41301,0,216050,0,1,54,1,14310,1,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,5,0,0,0,4
7606,727995019,0,40,1,39600,1,193495,0,0,37,1,5460,0,4188,2,0,3259,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,5,1,1,1,0
8745,842458865,1,45,2,46684,0,168591,1,0,22,1,10670,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4,4,0,0,0,0
8100,777238082,1,41,2,96330,1,250551,0,1,23,1,22060,0,4165,1,0,0,18,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,6,1,0,0,8
1288,124071503,0,56,0,84186,0,266968,1,1,45,1,15520,0,0,0,0,0,19,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,7,7,0,0,0,8
4563,441870892,0,48,0,131641,0,311314,0,1,23,1,25010,0,0,0,0,0,11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,9,7,0,0,0,5
9338,899077689,0,46,0,100888,0,277621,1,0,12,1,16190,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,8,7,0,0,0,5
10215,990710715,0,46,0,0,0,0,1,0,32,0,1500,0,20519,1,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,3,0,0,3
